Date,Close/Last,Volume,Open,High,Low
09/05/2018,$127.11,767987,$127.63,$127.86,$125.91
09/04/2018,$128.58,1121749,$130.06,$130.06,$127.85
08/31/2018,$131.09,526324,$132.89,$132.89,$129.92
08/30/2018,$132.93,876404,$134.54,$134.61,$131.815
08/29/2018,$134.20,957828,$132.66,$134.66,$132.095
08/28/2018,$130.04,771582,$129.55,$130.43,$128.765
08/27/2018,$128.20,362429,$127.26,$128.65,$127.22
08/24/2018,$127.52,486466,$126.26,$128.13,$126.26
08/23/2018,$124.79,554746,$124.63,$126.18,$124.27
08/22/2018,$125.09,691966,$126.96,$127.23,$124.74
08/21/2018,$126.33,889446,$124.87,$126.57,$124.50
08/20/2018,$123.35,684059,$121.53,$123.38,$121.53
08/17/2018,$120.80,394093,$119.51,$120.905,$119.24
08/16/2018,$120.50,787271,$120.27,$120.91,$119.73
08/15/2018,$119.23,1148418,$120.57,$120.57,$118.92
08/14/2018,$121.00,773259,$121.75,$121.75,$120.63
08/13/2018,$122.00,486307,$121.33,$122.23,$120.78
08/10/2018,$120.63,932098,$120.18,$121.10,$119.655
08/09/2018,$123.83,642056,$125.95,$126.07,$123.63
08/08/2018,$125.84,575034,$126.01,$126.64,$125.555
08/07/2018,$125.13,732797,$125.84,$125.84,$123.95
08/06/2018,$123.99,797053,$123.65,$124.30,$122.76
08/03/2018,$124.84,2837502,$130.85,$131.055,$123.50
08/02/2018,$126.18,3651179,$122.49,$128.25,$121.645
08/01/2018,$118.00,6429673,$134.77,$135.40,$116.5401
07/31/2018,$132.62,1016083,$132.56,$133.86,$132.39
07/30/2018,$130.50,866056,$131.54,$131.56,$129.90
07/27/2018,$131.60,549812,$131.18,$131.99,$130.44
07/26/2018,$131.63,926008,$132.51,$133.96,$131.37
07/25/2018,$134.52,2569688,$132.09,$136.30,$130.12
07/24/2018,$133.25,1280098,$134.46,$135.03,$133.03
07/23/2018,$136.49,2595186,$132.50,$137.00,$132.45
07/20/2018,$140.00,499839,$140.02,$140.70,$139.86
07/19/2018,$142.52,332334,$142.21,$143.09,$140.915
07/18/2018,$143.03,151993,$142.72,$143.22,$142.41
07/17/2018,$143.68,270872,$141.58,$144.83,$141.09
07/16/2018,$142.00,315112,$142.00,$142.07,$140.94
07/13/2018,$142.51,434092,$143.25,$143.70,$141.89
07/12/2018,$139.66,334183,$137.36,$139.77,$137.13
07/11/2018,$136.21,236885,$136.08,$137.04,$135.78
07/10/2018,$137.70,284520,$138.37,$138.39,$137.17
